m_S,kappa,lambda_S,C,Delta,gamma,Psi,alpha_s,Pi_S,kinetic_VEV
1.7044626094133508,0.48340552474884685,0.40788219457746516,0.24841668697933378,1.7696756296493423,19.33074986474803,1097.4118449339944,0.4983405524748847,0.22655904728662746,0.008380886092511761
1.7284696548372103,0.48921073337033694,0.4163884042623474,0.26828148936683194,1.7587991763251156,17.553691306090542,1151.1906280085548,0.49892107333703367,0.10576719494884035,0.010039118802581636
1.6657038234386539,0.4909667624167338,0.4129751281860336,0.26860419236818195,1.7808941892133932,16.461290305787216,1417.5998441204065,0.49909667624167336,0.39701488575587884,0.011704381948129634
1.7173285375656284,0.47401514127706573,0.4169151503507118,0.2649279060627722,1.7803081946692079,16.271216329878794,1601.683168293647,0.49740151412770656,0.22027996206903433,0.011971548888932225
1.7063057060235727,0.4836958198851311,0.4161838047038829,0.28760565403998306,1.7785637793211913,19.036667567044155,1460.106874656595,0.4983695819885131,0.2518099547046764,0.008728850095929903
1.700514889743012,0.476637100441777,0.41595439255032557,0.26913090471765,1.7847511281275437,14.666527613519003,1182.9227427851015,0.4976637100441777,0.2935856991148511,0.014808147163810485
1.7063764116480327,0.4806994919252136,0.4204364992641418,0.28824162375594803,1.7766948162290828,16.87656488919161,1488.0979076276185,0.49806994919252134,0.24492401178647816,0.011083005871253033
1.6751864662809868,0.49540375008761117,0.4165639271857947,0.2849577394402651,1.79566824924301,15.899066394345994,1079.5005233381462,0.49954037500876114,0.418174764528477,0.012755837007739306
1.7017049216824374,0.4944432106563365,0.42273411776538733,0.2771869440451778,1.7918127922980722,16.781572765273324,1294.3056510851052,0.49944432106563363,0.3147934421647842,0.011400396204621322
1.7103566885726762,0.48992631148222876,0.4147921130118409,0.26967403393282624,1.7817148538150946,16.88500417638084,1474.6694064952023,0.4989926311482229,0.24918781816005398,0.011134585552034707
1.7271684106711227,0.47397395307326234,0.41117542298599563,0.28066679831566527,1.7696772199058945,15.282538293805946,1345.6499748229348,0.49739739530732624,0.14864674383364385,0.013409022996891675
1.6972259467258954,0.48670944785843423,0.41656180328781756,0.28084234171584443,1.7820179812476333,15.894427608192089,1339.6604084173791,0.4986709447858434,0.2950121712502787,0.012569973974323466
1.6928725959566022,0.48061102863561633,0.413337257119015,0.29441802688597996,1.7846570614361434,15.746924543795295,1505.5917219250243,0.49806110286356164,0.3191832007930455,0.012844525242036497
1.697473644346232,0.4931511358680585,0.4240627539426414,0.27406198990972264,1.7604144809516684,16.5497528248294,1142.626139974171,0.49931511358680586,0.21764237149425414,0.01131479893779571
1.718731031765531,0.4807088385300973,0.42229237147798676,0.2863852243771739,1.7813285099163318,16.44466122360963,1486.3500409977953,0.49807088385300974,0.21909490068693227,0.011733786330204372
1.7099312666448954,0.47859159227365905,0.4252156703459244,0.27773637403646634,1.760409274426203,16.32345655235696,1489.787591328755,0.4978591592273659,0.1751758768359739,0.011630624661018498
1.6970535969434946,0.4881011943219325,0.4102160296172447,0.27227429653056073,1.8099527288980255,15.89788032395375,1279.1886772666007,0.4988101194321932,0.3959379699465564,0.01296152249944097
1.7126990114967005,0.4949238618115117,0.40590680303689286,0.2968526981905865,1.7890662524214769,14.3344843143594,1284.3377955049891,0.49949238618115116,0.26742015157165255,0.01557717502637649
1.7064561632402206,0.4937593333694201,0.4291187246307726,0.28372632818243254,1.7890670730970275,14.586856132210848,1326.2315964098789,0.499375933336942,0.28876835497943,0.015042840352218902
1.7195296748579934,0.49560997500218495,0.4089977503488036,0.2699524482402284,1.7843269326534683,15.294350584241535,1338.8350004492618,0.4995609975002185,0.2270402998752985,0.013610898000816218
1.6944692035918398,0.49568350238796777,0.4226265089619338,0.2767244216410108,1.758051553429713,17.467515207145404,1235.8171489382657,0.49956835023879675,0.2195193825954629,0.010129801903678173
1.7000850678010335,0.4982771958736606,0.42176081006437616,0.2872239262744015,1.779355433651899,15.152855391059987,1347.8935255326594,0.49982771958736605,0.2758165215064934,0.013789117124425328
1.6991183777030177,0.48666083213714095,0.41718767063010453,0.2801418800193153,1.7487240802956916,17.234444792751756,1394.7974333015438,0.4986660832137141,0.17103264755787784,0.010295512884593936
1.6830472757780184,0.4816587951053484,0.41535865977331826,0.2678801232797232,1.7734729437613164,15.867341213800321,1054.9668127394057,0.4981658795105348,0.31255814974961993,0.012492254187598096
1.7094418041559687,0.4786118173103901,0.41012536270663913,0.27223378166956574,1.7651329111584013,15.925725623747622,1237.2527997530628,0.497861181731039,0.19350291225851945,0.012284468374107857
1.7089158290826985,0.4947733517013932,0.4253318398916579,0.289891869464171,1.7788333368654359,15.11930340488285,1263.6509239673433,0.4994773351701393,0.2438547294544149,0.013842258498612842
